SR_NO,UID,NAME,URL,CATEGORIES,APPLICATION,SERIES,LENGTH,WIDTH,INSPIRATION,FINISH,COLOR,R,G,B,SQ.FT.,MINIMAL,BOHEMIAN,ASIAN,ART_MODERNE,FRENCH_COUNTRY,INDUSTRIAL,COASTAL_TROPICAL
25,1025,ALTAS,https://varmora.com/product/floor-tiles/altas/, GVT, WALL & FLOOR, EMPIRE,600,600, GEOMETRIC, RUSTIC, GREY,0.65,0.64,0.62,15.5,0,1,0,0,0,0,0
33,1033,AMAZON ASH,https://varmora.com/product/floor-tiles/amazon-ash/, DOUBLE CHARGE, WALL & FLOOR, ORNATE,600,600, MARBLE, GLOSSY, ASH,0.51,0.49,0.48,15.5,0,0,0,1,0,0,0
34,1034,AMAZON BEIGE,https://varmora.com/product/floor-tiles/amazon-beige/, DOUBLE CHARGE, WALL & FLOOR, ORNATE,600,600, MARBLE, GLOSSY, BEIGE,0.91,0.89,0.82,15.5,0,0,0,0,0,1,0
35,1035,AMAZON BLACK,https://varmora.com/product/floor-tiles/amazon-black/, DOUBLE CHARGE, WALL & FLOOR, LAVISH,600,600, MARBLE, GLOSSY, BLACK,0.3,0.29,0.29,15.5,0,0,0,1,0,0,0
36,1036,AMAZON BROWN,https://varmora.com/product/floor-tiles/amazon-brown/, DOUBLE CHARGE, WALL & FLOOR, LAVISH,600,600, MARBLE, GLOSSY, BROWN,0.41,0.32,0.29,15.5,0,1,0,0,1,0,1
37,1037,AMAZON RED,https://varmora.com/product/floor-tiles/amazon-red/, DOUBLE CHARGE, WALL & FLOOR, LAVISH,600,600, MARBLE, GLOSSY, RED,0.58,0.39,0.36,15.5,0,1,0,0,0,0,0
38,1038,AMAZON WHITE,https://varmora.com/product/floor-tiles/amazon-white/, DOUBLE CHARGE, WALL & FLOOR, ORNATE,600,600, MARBLE, GLOSSY, WHITE,0.94,0.94,0.91,15.5,1,0,0,0,0,1,0
51,1051,ANGLES,https://varmora.com/product/floor-tiles/angles/, GVT, WALL & FLOOR, XTREAM,600,600, GEOMETRIC, GLOSSY, BROWN,0.7,0.66,0.61,15.5,0,1,0,0,0,0,0
60,1060,ARDEN ONYX GREY,https://varmora.com/product/floor-tiles/arden-onyx-grey/, GVT, WALL & FLOOR, SUPERBO,600,600, MARBLE, GLOSSY, GREY,0.92,0.91,0.9,15.5,1,0,0,1,0,0,0
62,1062,ARDEN ONYX OLIVE,https://varmora.com/product/floor-tiles/arden-onyx-olive/, GVT, WALL & FLOOR, SUPERBO,600,600, MARBLE, GLOSSY, OLIVE,0.93,0.92,0.91,15.5,0,0,0,0,1,0,1
63,1063,AREMENIA,https://varmora.com/product/floor-tiles/aremenia/, VITRIFIED, WALL & FLOOR, SASSO,600,600, MARBLE, GLOSSY, IVORY,0.89,0.86,0.79,15.5,1,0,0,0,0,0,0
67,1067,ARMANI WHITE,https://varmora.com/product/floor-tiles/armani-white/, GVT, WALL & FLOOR, XTREAM,600,600, MARBLE, GLOSSY, WHITE,0.96,0.96,0.97,15.5,1,0,0,0,0,1,0
74,1074,ARTECH BIANCO,https://varmora.com/product/floor-tiles/artech-bianco/, GVT, WALL & FLOOR, EMRALD,600,600, STONE, MATT, BIANCO,0.92,0.88,0.82,15.5,1,0,0,0,0,1,0
75,1075,ARTECH BLUE,https://varmora.com/product/floor-tiles/artech-blue/, GVT, WALL & FLOOR, EMRALD,600,600, STONE, MATT, BLUE,0.42,0.54,0.63,15.5,0,0,0,0,1,0,1
76,1076,ARTECH BROWN,https://varmora.com/product/floor-tiles/artech-brown/, GVT, WALL & FLOOR, EMRALD,600,600, STONE, MATT, BROWN,0.33,0.24,0.16,15.5,0,0,0,1,0,0,0
77,1077,ARTECH COPPER,https://varmora.com/product/floor-tiles/artech-copper/, GVT, WALL & FLOOR, EMRALD,600,600, STONE, MATT, COPPER,0.8,0.6,0.4,15.5,0,1,0,0,0,0,0
78,1078,ARTECH DECOR 1,https://varmora.com/product/floor-tiles/artech-decor-1/, GVT, WALL & FLOOR, RUSTICO,600,600, GEOMETRIC, RUSTIC, BLUE,0.48,0.49,0.5,15.5,0,1,0,0,0,0,0
79,1079,ARTECH DECOR 2,https://varmora.com/product/floor-tiles/artech-decor-2/, GVT, WALL & FLOOR, RUSTICO,600,600, GEOMETRIC, RUSTIC, IVORY,0.86,0.72,0.59,15.5,0,1,0,0,0,0,0
